#ip_address latitude longitude
152.66.244.83 47.5 19.0833
152.66.127.83 47.5 19.0833
193.206.22.133 42.8333 12.8333
147.83.30.166 41.3994 2.1757
130.92.70.252 46.9167 7.4667
128.59.20.226 40.8006 -73.9653
195.130.124.2 39.62 19.9197
147.102.224.227 37.9833 23.7333
72.36.112.71 40.1106 -88.2073
222.197.180.139 30.6667 104.0667
158.110.27.116 46.033 13.2964
128.232.103.201 52.2093 0.1482
151.97.9.225 37.3 14.85
194.199.68.166 48.86 2.35
193.166.160.98 60.1708 24.9375
129.82.12.187 40.4555 -105.4648
209.148.46.136 40.7143 -74.006
128.220.231.2 39.3288 -76.5967
210.125.84.42 37.57 126.98
150.65.32.68 35.69 139.69
128.208.4.198 47.6606 -122.2919
193.175.135.61 52.5167 13.4
203.178.133.2 35.69 139.69
192.43.193.71 47.5592 7.5788
193.191.148.228 51.05 3.7167
128.84.154.45 42.4406 -76.4966
194.36.10.160 51.5166 -0.0966
131.175.17.9 42.8333 12.8333
133.11.240.56 35.69 139.69
193.136.191.20 38.7167 -9.1333
206.117.37.4 34.0453 -118.2413
128.84.154.44 42.4406 -76.4966
141.76.45.17 51.05 13.75
152.81.47.4 48.6833 6.2
137.189.98.209 22.2833 114.15
140.247.60.126 42.38 -71.1329
137.189.98.210 22.2833 114.15
192.33.90.196 47.3667 8.55
147.229.8.26 49.2 16.6333
193.147.162.166 37.3851 -5.9743
132.65.240.100 31.78 35.23
155.225.2.72 32.8488 -79.8577
193.136.191.25 38.7167 -9.1333
140.127.208.238 22.6333 120.35
149.156.5.116 50.0833 19.9167
134.121.64.7 46.8387 -117.6443
160.80.221.37 41.9 12.4833
128.83.122.162 30.2961 -97.7369
130.237.50.125 59.3326 18.0649
195.251.248.181 37.9833 23.7333
139.91.90.238 37.9667 23.7167
129.242.19.197 69.6667 18.9667
130.192.157.131 45.0855 7.5471
131.188.44.102 49.5888 11.0098
83.230.127.124 50.2667 19.0167
132.227.62.85 48.8592 2.3417
139.30.240.191 54.0833 12.1333
195.148.124.74 60.1708 24.9375
131.247.2.245 28.0631 -82.4128
203.159.63.249 13.75 100.5167
193.167.187.188 60.1756 24.9342
206.117.37.7 34.0453 -118.2413
132.72.23.10 31.5 34.75
169.229.50.16 37.8668 -122.2536
193.136.166.68 38.7167 -9.1333
193.138.2.12 46 15
193.175.135.58 52.5167 13.4
118.139.145.131 -37.9167 145.1333
140.115.156.142 25.0392 121.525
163.117.253.22 40.4024 -3.6924
192.33.90.195 47.3667 8.55
66.140.111.7 33.4721 -101.9398
194.254.215.11 49.0254 2.2169
130.192.157.132 45.0855 7.5471
216.165.109.81 40.7317 -73.9885
59.163.146.21 10.9925 76.9614
193.232.27.246 55.7522 37.6156
152.15.253.190 35.3041 -80.7267
139.182.137.141 34.2249 -117.3761
146.57.249.99 44.9759 -93.2166
72.18.165.65 31.3958 -100.6896
128.226.103.67 42.0987 -75.918
205.211.183.2 43.8973 -78.8641
147.126.66.17 42.0106 -87.6686
128.39.36.27 59.95 10.75
150.189.2.102 10.5 -66.9167
216.98.102.30 37.386 -122.0838
152.8.109.170 36.0807 -80.0244
152.15.253.191 35.3041 -80.7267
134.74.248.5 40.8291 -73.9491
141.20.103.211 52.5167 13.4
152.8.108.158 36.0807 -80.0244
152.3.138.3 35.994 -78.8986
103.37.200.181 29.8667 77.8833
195.116.60.49 52.2333 21.0167
207.178.4.6 47.6103 -122.3341
129.74.74.16 41.7007 -86.2501
152.3.138.2 35.994 -78.8986
134.88.5.253 41.639 -70.9703
122.160.182.50 28.57 77.32
141.117.68.60 43.6543 -79.3796
139.182.137.140 34.2249 -117.3761
195.116.60.145 52.2333 21.0167
152.3.138.5 35.994 -78.8986
103.27.9.4 28.6667 77.2167
163.221.11.74 34.6853 135.8328
141.117.68.62 43.6543 -79.3796
195.116.60.67 52.2333 21.0167
195.116.60.210 52.2333 21.0167
195.116.60.209 52.2333 21.0167
130.245.191.59 40.9223 -72.6371
203.230.7.202 36.7836 127.0042
133.11.240.57 35.69 139.69
169.237.79.210 38.5449 -121.7405
152.3.138.1 35.994 -78.8986
128.226.103.66 42.0987 -75.918
134.74.248.6 40.8291 -73.9491
168.188.128.89 35.0167 126.8667
164.164.104.162 12.9833 77.5833
203.230.7.201 36.7836 127.0042
164.164.104.163 12.9833 77.5833
130.245.191.60 40.9223 -72.6371
141.217.48.50 42.3755 -83.0772
216.165.109.82 40.7317 -73.9885
195.116.60.34 52.2333 21.0167
138.25.15.194 -33.8666 151.2082
138.25.15.195 -33.8666 151.2082
129.137.253.253 39.1668 -84.5382
129.137.253.252 39.1668 -84.5382
128.31.1.11 42.3751 -71.1056
128.31.1.13 42.3751 -71.1056
128.31.1.12 42.3751 -71.1056
163.221.11.73 34.6853 135.8328
23.228.128.99 38.9688 -94.4729
129.59.88.179 36.1473 -86.777
129.59.88.180 36.1473 -86.777
136.145.251.241 18.25 -66.5
136.145.251.242 18.25 -66.5
128.195.54.212 33.6403 -117.7694
115.156.163.246 30.5801 114.2734
205.211.183.4 43.8973 -78.8641
160.193.163.101 34.6864 135.52
160.193.163.102 34.6864 135.52
160.193.163.105 34.6864 135.52
58.60.106.66 22.5333 114.1333
58.60.106.70 22.5333 114.1333
147.126.66.15 42.0106 -87.6686
217.9.80.144 57.418 54.0552
217.9.80.145 57.418 54.0552
128.39.36.26 59.95 10.75
128.192.101.217 33.9499 -83.375
128.192.101.218 33.9499 -83.375
103.27.9.3 28.6667 77.2167
35.9.27.26 42.7283 -84.4882
216.98.102.29 37.386 -122.0838
103.37.200.182 29.8667 77.8833
150.189.2.101 10.5 -66.9167
140.114.89.45 25.0392 121.525
195.113.161.84 50.0833 14.4667
204.123.28.51 37.3762 -122.1826
195.116.60.146 52.2333 21.0167
146.57.249.98 44.9759 -93.2166
141.22.213.35 53.55 10
193.63.75.21 51.5166 -0.0966
192.42.43.22 47.0009 6.9274
152.66.245.162 47.5 19.0833
141.24.249.129 50.6912 10.9199
169.235.24.133 33.7529 -116.0556
133.1.74.162 35.69 139.69
128.2.211.113 40.4439 -79.9561
193.136.166.66 38.7167 -9.1333
165.230.49.119 40.5767 -74.3674
128.83.122.181 30.2961 -97.7369
202.112.128.10 39.9289 116.3883
150.65.32.66 35.69 139.69
129.93.229.138 40.8 -96.667
139.19.158.231 49.2333 7
128.163.142.20 38.0287 -84.5075
143.89.49.73 22.2833 114.15
222.197.180.137 30.6667 104.0667
129.105.15.37 42.0586 -87.6845
139.19.158.233 49.2333 7
193.205.215.74 46.0794 11.0483
131.254.208.11 48.112 -1.6743
128.252.19.19 38.6657 -90.3231
139.19.158.235 49.2333 7
193.63.75.19 51.5166 -0.0966
192.43.193.72 47.5592 7.5788
141.11.0.165 51.5 -0.13
142.150.238.12 43.6619 -79.3952
128.151.65.101 43.1548 -77.6156
130.192.9.230 45.0833 7.6833
193.1.170.136 53.3331 -6.2489
193.167.187.187 60.1756 24.9342
220.245.140.197 -37.9333 145.4667
195.148.124.73 60.1708 24.9375
143.215.131.206 33.7763 -84.398
194.117.20.214 38.7167 -9.1333
141.213.4.202 42.2923 -83.7145
147.83.30.164 41.3994 2.1757
152.81.47.5 48.6833 6.2
151.100.59.9 41.9 12.4833
131.188.44.100 49.5888 11.0098
132.187.230.1 49.783 9.9366
131.114.59.243 43.7167 10.3833
128.238.88.64 40.6944 -73.9906
134.34.246.5 47.6667 9.1833
83.246.92.212 51 9
134.151.255.181 52.4643 -1.9279
138.96.116.21 43.5624 7.1278
131.114.53.188 43.7167 10.3833
72.36.112.72 40.1106 -88.2073
131.114.53.187 43.7167 10.3833
147.83.30.167 41.3994 2.1757
163.117.253.23 40.4024 -3.6924
200.129.0.162 -23.5477 -46.6358
134.34.246.4 47.6667 9.1833
203.246.112.147 37.5985 126.9783
219.243.208.62 39.9289 116.3883
138.4.0.120 40.4024 -3.6924
193.166.160.99 60.1708 24.9375
198.83.85.46 35.0443 -106.6729
202.125.215.10 22.2833 114.15
192.248.16.111 7 81
141.22.213.34 53.55 10
160.36.57.173 35.9901 -83.9622
193.136.19.29 41.5514 -8.4198
141.24.249.131 50.6912 10.9199
133.69.32.131 35.69 139.69
129.237.161.194 38.9525 -95.2756
193.191.148.249 51.05 3.7167
193.136.227.163 37.0194 -7.9322
129.105.15.36 42.0586 -87.6845
128.208.4.199 47.6606 -122.2919
139.165.12.212 50.6333 5.5667
128.84.154.40 42.4406 -76.4966
220.245.140.196 -37.9333 145.4667
140.247.60.123 42.38 -71.1329
128.233.252.11 52.1193 -106.6594
193.1.201.27 53.3331 -6.2489
128.83.122.179 30.2961 -97.7369
217.173.198.154 50.6667 17.95
157.159.226.74 48.6328 2.4405
